# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 315, mean track length: 2
232 0.38350817184959535 4.9601102491848321 30.192254841328165 179 174 100 0.11143487115368139 31 429 30 593
233 0.89266022887081009 5.427695157852555 29.227423388248528 116 44 32 0.15294736747779089 31 580 30 600
234 -1.3846046724867442 5.619305859216972 30.628406193255547 75 24 15 0.15503393933021598 31 585 30 603
235 0.76394584741334481 5.5687844475067765 29.035985812710109 232 224 162 0.14395406814699735 31 437 30 604
236 -1.4085231699692831 5.7262092177150681 30.439723499020879 69 36 22 0.016339425280117111 31 587 30 605
237 -1.5769268364907771 6.7345887946072791 29.062177246385733 226 206 99 0.17655761188119262 31 592 30 617
238 -0.854683670446718 7.0206182296463 28.239655678117106 96 98 30 0.070888420318084261 31 593 30 620
239 -1.0341287570695805 6.7136112402505788 28.818739318509369 179 177 109 0.37443116911590751 31 413 30 622
240 -1.4447589588700198 6.7148875477431931 28.979755714584392 201 177 72 0.32063726499782635 31 534 30 623
241 -0.29878438523525858 6.7603699013273753 28.642047861362691 111 92 57 0.41946777379335731 31 500 30 624
242 -1.5769268364907771 6.7345887946072791 29.062177246385733 226 206 99 0.17655761188119262 31 495 30 625
243 -1.3122274885335949 6.7499305766263875 28.806001491279194 111 75 32 0.10665825692431946 31 510 30 626
244 -1.5162488086671926 6.8925711327512706 28.870388851221268 201 110 38 0.064708229589891725 31 518 30 630
245 -0.49485252737391972 6.9986972991751459 29.030714238943652 97 41 32 0.13081365145033269 31 564 30 631
246 -0.854683670446718 7.0206182296463 28.239655678117106 96 98 30 0.070888420318084261 31 460 30 633
247 0.45881256232304096 4.9172469674652248 30.239031979146191 121 75 46 0.32166727655395494 31 490 30 634
248 -1.304136917864636 7.0973304942536872 28.524613426379297 167 72 28 0.07096873373328684 31 463 30 636
249 -2.3019515333159344 5.5580501606043979 31.055698685013166 202 107 29 0.13236994414106246 31 572 30 645
250 -2.233276949048379 5.5516320492855655 30.997058428472915 221 189 69 0.19427898368676338 31 497 30 646
251 0.93431894537106808 5.4781170959830661 29.186353424741519 227 217 140 0.67186241834916549 31 582 30 651
252 -1.4813674335582299 5.6873074008278035 30.556415529533151 81 40 33 0.36723930160037976 31 789 30 659
253 -2.0032709330503709 5.7235914291637062 30.587904236721112 213 179 65 0.40083767187127728 31 779 30 661
254 -1.9789202930782177 5.8423401040443785 30.441941244087683 184 81 23 0.33796147761116824 31 514 30 666
255 1.7879876329718656 5.8082082434958213 27.876994686279289 186 139 35 0.14373352179861681 31 616 30 667
256 -2.1794186053274021 5.8922098673844721 30.580988895884708 235 207 88 0.069742629399850209 31 588 30 669
257 2.0558015046718165 5.8491414039372502 27.706407342470538 78 42 14 0.060478863483092407 31 790 30 670
258 1.9161277141937636 5.8672330779271329 27.680851956279934 134 89 22 0.38853540335684522 31 788 30 673
259 0.75295475484409602 5.8663039015674068 28.587142200736714 228 214 100 0.13660282357168141 31 526 30 674
260 -1.4200628676663616 5.9882685073569748 30.12062000830521 131 140 87 0.078450065802729341 31 390 30 679
261 0.23738215023980472 5.9570569786869978 28.925188957791242 224 205 107 0.13431467355004678 31 770 30 680
262 0.66210205422526824 5.9659244611324223 28.549594291645153 232 221 137 0.2071103517429147 31 769 30 681
